case:concept:name,concept:name,start_timestamp,time:timestamp
42,transport_to_track_2,end,21:24:50
43,transport_to_track_1,start,21:24:50
43,transport_to_track_1,end,21:25:00
43,transport_to_cell_1,start,21:25:00
43,transport_to_cell_1,end,21:25:10
43,operation_on_cell_1,start,21:25:10
43,operation_on_cell_1,end,21:25:15
43,transport_to_cell_2,start,21:25:15
43,transport_to_cell_2,end,21:25:15
43,operation_on_cell_2,start,21:25:15
43,operation_on_cell_2,end,21:25:15
43,transport_to_track_2,start,21:25:15
43,transport_to_track_2,end,21:25:15
44,transport_to_track_1,start,21:25:15
44,transport_to_track_1,end,21:25:20
44,transport_to_cell_1,start,21:25:20
44,transport_to_cell_1,end,21:25:25
44,operation_on_cell_1,start,21:25:25
44,operation_on_cell_1,end,21:25:30
44,transport_to_cell_2,start,21:25:30
44,transport_to_cell_2,end,21:25:30
44,operation_on_cell_2,start,21:25:30
44,operation_on_cell_2,end,21:25:30
44,transport_to_track_2,start,21:25:30
44,transport_to_track_2,end,21:25:35
45,transport_to_track_1,start,21:25:35
45,transport_to_track_1,end,21:25:40
45,transport_to_cell_1,start,21:25:40
45,transport_to_cell_1,end,21:25:55
45,operation_on_cell_1,start,21:25:55
45,operation_on_cell_1,end,21:25:55
45,transport_to_cell_2,start,21:25:55
45,transport_to_cell_2,end,21:26:05
45,operation_on_cell_2,start,21:26:05
45,operation_on_cell_2,end,21:26:05
45,transport_to_track_2,start,21:26:05
45,transport_to_track_2,end,21:26:10
46,transport_to_track_1,start,21:26:10
46,transport_to_track_1,end,21:26:10
46,transport_to_cell_1,start,21:26:10
46,transport_to_cell_1,end,21:26:10
46,operation_on_cell_1,start,21:26:10
46,operation_on_cell_1,end,21:26:15
46,transport_to_cell_2,start,21:26:15
46,transport_to_cell_2,end,21:26:20
46,operation_on_cell_2,start,21:26:20
46,operation_on_cell_2,end,21:26:25
46,transport_to_track_2,start,21:26:25
46,transport_to_track_2,end,21:26:25
47,transport_to_track_1,start,21:26:25
47,transport_to_track_1,end,21:26:40
47,transport_to_cell_1,start,21:26:40
47,transport_to_cell_1,end,21:26:55
47,operation_on_cell_1,start,21:26:55
47,operation_on_cell_1,end,21:26:55
47,transport_to_cell_2,start,21:26:55
47,transport_to_cell_2,end,21:27:00
47,operation_on_cell_2,start,21:27:00
47,operation_on_cell_2,end,21:27:00
47,transport_to_track_2,start,21:27:00
47,transport_to_track_2,end,21:27:00
48,transport_to_track_1,start,21:27:00
48,transport_to_track_1,end,21:27:05
48,transport_to_cell_1,start,21:27:05
48,transport_to_cell_1,end,21:27:05
48,operation_on_cell_1,start,21:27:05
48,operation_on_cell_1,end,21:27:15
48,transport_to_cell_2,start,21:27:15
48,transport_to_cell_2,end,21:27:15
48,operation_on_cell_2,start,21:27:15
48,operation_on_cell_2,end,21:27:20
48,transport_to_track_2,start,21:27:20
48,transport_to_track_2,end,21:27:30
49,transport_to_track_1,start,21:27:30
49,transport_to_track_1,end,21:27:50
49,transport_to_cell_1,start,21:27:50
49,transport_to_cell_1,end,21:27:50
49,operation_on_cell_1,start,21:27:50
49,operation_on_cell_1,end,21:27:50
49,transport_to_cell_2,start,21:27:50
49,transport_to_cell_2,end,21:28:05
49,operation_on_cell_2,start,21:28:05
49,operation_on_cell_2,end,21:28:20
49,transport_to_track_2,start,21:28:20
49,transport_to_track_2,end,21:28:30
50,transport_to_track_1,start,21:28:30
50,transport_to_track_1,end,21:28:35
50,transport_to_cell_1,start,21:28:35
50,transport_to_cell_1,end,21:28:40
50,operation_on_cell_1,start,21:28:40
50,operation_on_cell_1,end,21:28:45
50,transport_to_cell_2,start,21:28:45
50,transport_to_cell_2,end,21:28:45
50,operation_on_cell_2,start,21:28:45
50,operation_on_cell_2,end,21:28:45
50,transport_to_track_2,start,21:28:45
50,transport_to_track_2,end,21:28:50
51,transport_to_track_1,start,21:28:50
51,transport_to_track_1,end,21:28:50
51,transport_to_cell_1,start,21:28:50
51,transport_to_cell_1,end,21:28:55
51,operation_on_cell_1,start,21:28:55
51,operation_on_cell_1,end,21:29:00
51,transport_to_cell_2,start,21:29:00
51,transport_to_cell_2,end,21:29:05
51,operation_on_cell_2,start,21:29:05
51,operation_on_cell_2,end,21:29:10
51,transport_to_track_2,start,21:29:10
51,transport_to_track_2,end,21:29:10
52,transport_to_track_1,start,21:29:10
52,transport_to_track_1,end,21:29:10
52,transport_to_cell_1,start,21:29:10
52,transport_to_cell_1,end,21:29:15
52,operation_on_cell_1,start,21:29:15
52,operation_on_cell_1,end,21:29:20
52,transport_to_cell_2,start,21:29:20
52,transport_to_cell_2,end,21:29:25
52,operation_on_cell_2,start,21:29:25
52,operation_on_cell_2,end,21:29:35
52,transport_to_track_2,start,21:29:35
52,transport_to_track_2,end,21:29:45
53,transport_to_track_1,start,21:29:45
53,transport_to_track_1,end,21:29:50
53,transport_to_cell_1,start,21:29:50
53,transport_to_cell_1,end,21:29:55
53,operation_on_cell_1,start,21:29:55
53,operation_on_cell_1,end,21:30:00
53,transport_to_cell_2,start,21:30:00
53,transport_to_cell_2,end,21:30:00
53,operation_on_cell_2,start,21:30:00
53,operation_on_cell_2,end,21:30:00
53,transport_to_track_2,start,21:30:00
53,transport_to_track_2,end,21:30:05
54,transport_to_track_1,start,21:30:05
54,transport_to_track_1,end,21:30:15
54,transport_to_cell_1,start,21:30:15
54,transport_to_cell_1,end,21:30:15
54,operation_on_cell_1,start,21:30:15
54,operation_on_cell_1,end,21:30:15
54,transport_to_cell_2,start,21:30:15
54,transport_to_cell_2,end,21:30:35
54,operation_on_cell_2,start,21:30:35
54,operation_on_cell_2,end,21:30:35
54,transport_to_track_2,start,21:30:35
54,transport_to_track_2,end,21:30:50
55,transport_to_track_1,start,21:30:50
55,transport_to_track_1,end,21:30:50
55,transport_to_cell_1,start,21:30:50
55,transport_to_cell_1,end,21:30:50
55,operation_on_cell_1,start,21:30:50
55,operation_on_cell_1,end,21:31:00
55,transport_to_cell_2,start,21:31:00
55,transport_to_cell_2,end,21:31:00
55,operation_on_cell_2,start,21:31:00
55,operation_on_cell_2,end,21:31:05
55,transport_to_track_2,start,21:31:05
55,transport_to_track_2,end,21:31:10
56,transport_to_track_1,start,21:31:10
56,transport_to_track_1,end,21:31:21
56,transport_to_cell_1,start,21:31:21
56,transport_to_cell_1,end,21:31:21
56,operation_on_cell_1,start,21:31:21
56,operation_on_cell_1,end,21:31:21
56,transport_to_cell_2,start,21:31:21
56,transport_to_cell_2,end,21:31:26
56,operation_on_cell_2,start,21:31:26
56,operation_on_cell_2,end,21:31:31
56,transport_to_track_2,start,21:31:31
56,transport_to_track_2,end,21:31:31
57,transport_to_track_1,start,21:31:31
57,transport_to_track_1,end,21:31:31
57,transport_to_cell_1,start,21:31:31
57,transport_to_cell_1,end,21:31:36
57,operation_on_cell_1,start,21:31:36
57,operation_on_cell_1,end,21:31:51
57,transport_to_cell_2,start,21:31:51
57,transport_to_cell_2,end,21:32:06
57,operation_on_cell_2,start,21:32:06
57,operation_on_cell_2,end,21:32:11
57,transport_to_track_2,start,21:32:11
57,transport_to_track_2,end,21:32:16
58,transport_to_track_1,start,21:32:16
58,transport_to_track_1,end,21:32:21
58,transport_to_cell_1,start,21:32:21
58,transport_to_cell_1,end,21:32:21
58,operation_on_cell_1,start,21:32:21
58,operation_on_cell_1,end,21:32:21
58,transport_to_cell_2,start,21:32:21
58,transport_to_cell_2,end,21:32:21
58,operation_on_cell_2,start,21:32:21
58,operation_on_cell_2,end,21:32:26
58,transport_to_track_2,start,21:32:26
58,transport_to_track_2,end,21:32:31
59,transport_to_track_1,start,21:32:31
59,transport_to_track_1,end,21:32:36
59,transport_to_cell_1,start,21:32:36
59,transport_to_cell_1,end,21:32:46
59,operation_on_cell_1,start,21:32:46
59,operation_on_cell_1,end,21:32:46
59,transport_to_cell_2,start,21:32:46
59,transport_to_cell_2,end,21:32:46
59,operation_on_cell_2,start,21:32:46
59,operation_on_cell_2,end,21:32:56
